Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
37,Travel_Rarely,921,Other,10,3,Medical,1,486,3,Female,98,3,1,Laboratory Technician,1,Married,4,17663,6,Y,No,20,4,2,80,1,17,3,3,5,4,0,3,0
46,Non-Travel,1144,Other,7,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,Married,6,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0,0
41,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,56,3,2,Sales Executive,2,Single,8,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,1
50,Travel_Rarely,1046,Other,10,3,Technical Degree,1,491,4,Male,100,2,3,Healthcare Representative,4,Single,9,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3,0
40,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,Male,68,2,2,Sales Executive,3,Married,7,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0,1
31,Travel_Rarely,408,Other,9,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,Single,2,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2,0
21,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,3,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,1
29,Travel_Rarely,1283,Other,23,3,Life Sciences,1,495,4,Male,54,3,1,Research Scientist,4,Single,1,18168,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2,0
35,Travel_Rarely,755,Other,9,4,Life Sciences,1,496,3,Male,97,2,2,Healthcare Representative,2,Single,7,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0,0
27,Travel_Rarely,1469,Other,1,2,Medical,1,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,4,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4,0
28,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,Male,92,3,2,Sales Executive,4,Single,6,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7,0
49,Travel_Rarely,1261,Other,7,3,Other,1,499,2,Male,31,2,3,Healthcare Representative,3,Single,9,12066,8,Y,No,24,4,3,80,0,26,2,3,5,2,0,0,0
51,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,Female,87,3,2,Sales Executive,4,Married,6,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7,0
36,Travel_Rarely,329,Other,2,3,Life Sciences,1,501,4,Female,96,3,1,Research Scientist,3,Married,2,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2,0
34,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,Male,67,4,2,Sales Executive,4,Single,6,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4,1
55,Travel_Rarely,1311,Other,2,3,Life Sciences,1,505,3,Female,97,3,4,Manager,4,Single,10,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2,0
24,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,5,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,0
30,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,Married,2,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,0
26,Travel_Frequently,575,Other,3,1,Technical Degree,1,510,3,Male,73,3,1,Research Scientist,1,Single,3,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4,1
22,Travel_Rarely,253,Other,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,1,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2,0
36,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,61,2,3,Sales Executive,3,Married,8,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0,0
30,Travel_Frequently,464,Other,4,3,Technical Degree,1,514,3,Male,40,3,1,Research Scientist,4,Single,1,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0,1
37,Travel_Rarely,1107,Other,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17,0
40,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,46,3,2,Sales Executive,2,Divorced,6,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3,0
42,Travel_Rarely,201,Other,1,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2,0
37,Travel_Rarely,1305,Other,10,4,Life Sciences,1,518,3,Male,49,3,2,Manufacturing Director,2,Single,4,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1,0
43,Travel_Rarely,982,Other,12,3,Life Sciences,1,520,1,Male,59,2,4,Research Director,2,Divorced,10,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,0
40,Travel_Rarely,555,Other,2,3,Medical,1,521,2,Female,78,2,2,Laboratory Technician,3,Married,4,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0,0
54,Travel_Rarely,821,Other,5,2,Medical,1,522,1,Male,86,3,5,Research Director,1,Married,10,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,0
34,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married,7,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2,0
31,Travel_Rarely,480,Other,7,2,Medical,1,524,2,Female,31,3,2,Manufacturing Director,1,Married,5,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12,0
43,Travel_Frequently,313,Other,21,3,Medical,1,525,4,Male,61,3,1,Laboratory Technician,4,Married,1,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2,0
43,Travel_Rarely,1473,Other,8,4,Other,1,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,5,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2,0
25,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,5,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,0
37,Non-Travel,1063,Other,25,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,5,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,0
31,Travel_Rarely,329,Other,1,2,Life Sciences,1,530,4,Male,98,2,1,Laboratory Technician,1,Married,1,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2,0
39,Travel_Frequently,1218,Other,1,1,Life Sciences,1,531,2,Male,52,3,5,Manager,3,Divorced,10,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6,0
56,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,9,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,0
30,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,Female,83,3,2,Sales Executive,3,Single,7,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4,0
41,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,8,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7,0
28,Travel_Rarely,1300,Other,17,2,Medical,1,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,5,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8,0
25,Travel_Rarely,688,Other,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,4,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,1
52,Travel_Rarely,319,Other,3,3,Medical,1,543,4,Male,39,2,3,Manufacturing Director,3,Married,8,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4,0
45,Travel_Rarely,192,Other,10,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,Married,2,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2,0
52,Travel_Rarely,1490,Other,4,2,Life Sciences,1,546,4,Female,30,3,4,Manager,4,Married,10,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4,0
42,Travel_Frequently,532,Other,29,2,Life Sciences,1,547,1,Female,92,3,2,Research Scientist,3,Divorced,5,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2,0
30,Travel_Rarely,317,Other,2,3,Life Sciences,1,548,3,Female,43,1,2,Manufacturing Director,4,Single,7,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2,0
60,Travel_Rarely,422,Other,7,3,Life Sciences,1,549,1,Female,41,3,5,Manager,1,Married,10,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,0
46,Travel_Rarely,1485,Other,18,3,Medical,1,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,5,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,0
42,Travel_Frequently,1368,Other,28,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,5,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,0
24,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,1
34,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,33,1,1,Sales Representative,3,Divorced,2,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0,1
38,Travel_Frequently,1490,Other,2,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,1,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0,0
40,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,Female,79,3,5,Manager,3,Married,10,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12,0
26,Travel_Rarely,1349,Other,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,3,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2,0
30,Non-Travel,1400,Other,3,3,Life Sciences,1,562,3,Male,53,3,1,Laboratory Technician,4,Married,1,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4,0
29,Travel_Rarely,986,Other,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,9,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,0
29,Travel_Rarely,408,Other,25,5,Technical Degree,1,565,3,Female,71,2,1,Research Scientist,2,Married,2,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1,1
19,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,2,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,1
30,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married,8,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8,0
57,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,10,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0,0
50,Travel_Rarely,1099,Other,29,4,Life Sciences,1,569,2,Male,88,2,4,Manager,3,Married,10,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,0
30,Non-Travel,1116,Other,2,3,Medical,1,571,3,Female,49,3,1,Laboratory Technician,4,Single,2,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7,0
60,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,Female,80,2,3,Sales Executive,1,Married,9,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11,0
47,Travel_Rarely,983,Other,2,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,6,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,0
46,Travel_Rarely,1009,Other,2,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,10,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,0
35,Travel_Rarely,144,Other,22,3,Life Sciences,1,577,4,Male,46,1,1,Laboratory Technician,3,Single,5,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3,0
54,Travel_Rarely,548,Other,8,4,Life Sciences,1,578,3,Female,42,3,2,Laboratory Technician,3,Single,4,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0,0
34,Travel_Rarely,1303,Other,2,4,Life Sciences,1,579,4,Male,62,2,1,Research Scientist,3,Divorced,3,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,0
46,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,8,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,0
31,Travel_Rarely,1274,Other,9,1,Life Sciences,1,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,9,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8,0
33,Travel_Rarely,1277,Other,15,1,Medical,1,582,2,Male,56,3,3,Manager,3,Married,9,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7,1
33,Travel_Rarely,587,Other,10,1,Medical,1,584,1,Male,38,1,1,Laboratory Technician,4,Divorced,4,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3,1
30,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,Male,57,3,1,Sales Representative,2,Single,3,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2,0
35,Travel_Rarely,1276,Other,16,3,Life Sciences,1,586,4,Male,72,3,3,Healthcare Representative,3,Married,8,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0,0
31,Travel_Frequently,534,Other,20,3,Life Sciences,1,587,1,Male,66,3,3,Healthcare Representative,3,Married,8,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0,1
34,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,2,Female,43,3,3,Human Resources,1,Divorced,9,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2,1
42,Travel_Frequently,1474,Other,5,2,Other,1,591,2,Male,97,3,1,Laboratory Technician,3,Married,1,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0,0
36,Non-Travel,635,Sales,10,4,Medical,1,592,2,Male,32,3,3,Sales Executive,4,Single,9,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7,0
22,Travel_Frequently,1368,Other,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,4,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,1
48,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,Married,4,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7,0
55,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,Female,83,3,4,Manager,2,Single,10,9873,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7,0
41,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,Male,56,3,2,Sales Executive,4,Single,7,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,0
35,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,Male,85,3,2,Sales Executive,3,Married,5,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9,0
40,Travel_Rarely,302,Other,6,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,Single,9,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,0
39,Travel_Frequently,443,Other,8,1,Life Sciences,1,602,3,Female,48,3,1,Laboratory Technician,3,Married,4,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7,0
31,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,2,Male,77,3,2,Sales Executive,4,Single,7,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5,0
42,Travel_Rarely,319,Other,24,3,Medical,1,605,4,Male,56,3,3,Manufacturing Director,1,Married,8,6950,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8,0
45,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,61,3,2,Sales Executive,2,Married,5,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7,0
26,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,2,Female,58,3,1,Human Resources,3,Divorced,3,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0,1
29,Travel_Rarely,232,Other,19,3,Technical Degree,1,611,4,Male,34,3,2,Manufacturing Director,4,Divorced,5,22645,4,Y,No,12,3,2,80,2,8,2,4,3,2,1,2,0
33,Travel_Rarely,922,Other,1,5,Medical,1,612,1,Female,95,4,4,Research Director,3,Divorced,10,22578,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5,0
31,Travel_Rarely,688,Sales,7,3,Life Sciences,1,613,3,Male,44,2,3,Manager,4,Divorced,9,25291,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1,0
18,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,1,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0,1
40,Non-Travel,1094,Sales,28,3,Other,1,615,3,Male,58,1,3,Sales Executive,1,Divorced,9,11373,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1,0
41,Non-Travel,509,Other,2,4,Other,1,616,1,Female,62,2,2,Healthcare Representative,3,Single,7,2112,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7,0
26,Travel_Rarely,775,Sales,29,2,Medical,1,618,1,Male,45,3,2,Sales Executive,3,Divorced,5,4267,5,Y,No,12,3,1,80,2,8,5,3,0,0,0,0,0
35,Travel_Rarely,195,Sales,1,3,Medical,1,620,1,Female,80,3,2,Sales Executive,3,Single,5,6698,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3,0
34,Travel_Rarely,258,Sales,21,4,Life Sciences,1,621,4,Male,74,4,2,Sales Executive,4,Single,6,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7,0
26,Travel_Rarely,471,Other,24,3,Technical Degree,1,622,3,Male,66,1,1,Laboratory Technician,4,Single,2,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0,1
37,Travel_Rarely,799,Other,1,3,Technical Degree,1,623,2,Female,59,3,3,Manufacturing Director,4,Single,8,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2,0
46,Travel_Frequently,1034,Other,18,1,Medical,1,624,1,Female,86,3,3,Healthcare Representative,3,Married,9,8984,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2,0
41,Travel_Rarely,1276,Sales,2,5,Life Sciences,1,625,2,Female,91,3,4,Manager,1,Married,10,5626,7,Y,No,16,3,2,80,1,22,2,3,18,16,11,8,0
37,Non-Travel,142,Sales,9,4,Medical,1,626,1,Male,69,3,3,Sales Executive,2,Divorced,8,24666,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7,0
52,Travel_Rarely,956,Other,6,2,Technical Degree,1,630,4,Male,78,3,2,Research Scientist,1,Divorced,6,22087,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9,0
32,Non-Travel,1474,Sales,11,4,Other,1,631,4,Male,60,4,2,Sales Executive,3,Married,5,23914,8,Y,No,12,3,4,80,0,6,2,3,4,2,1,2,1
24,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,2,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,0
38,Travel_Rarely,1495,Other,10,3,Medical,1,634,3,Female,76,3,2,Healthcare Representative,3,Married,8,22174,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0,0
37,Travel_Rarely,446,Other,1,4,Life Sciences,1,635,2,Female,65,3,2,Manufacturing Director,2,Married,7,15701,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3,0
49,Travel_Rarely,1245,Other,18,4,Life Sciences,1,638,4,Male,58,2,5,Research Director,3,Divorced,10,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9,0
24,Travel_Rarely,691,Other,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,3,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,0
26,Travel_Rarely,703,Sales,28,2,Marketing,1,641,1,Male,66,3,2,Sales Executive,2,Married,7,7428,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4,0
24,Travel_Rarely,823,Other,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,1,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0,0
50,Travel_Frequently,1246,Human Resources,3,3,Medical,1,644,1,Male,99,3,5,Manager,2,Married,10,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,0
25,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,1,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6,0
24,Travel_Frequently,1287,Other,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,3,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2,1
30,Travel_Frequently,448,Sales,12,4,Life Sciences,1,648,2,Male,74,2,1,Sales Representative,1,Married,1,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0,1
34,Travel_Rarely,254,Other,1,2,Life Sciences,1,649,2,Male,83,2,1,Research Scientist,4,Married,4,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3,0
31,Travel_Rarely,1365,Sales,13,4,Medical,1,650,2,Male,46,3,2,Sales Executive,1,Divorced,5,11512,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2,1
35,Travel_Rarely,538,Other,25,2,Other,1,652,1,Male,54,2,2,Laboratory Technician,4,Single,4,14004,4,Y,No,14,3,4,80,0,9,3,3,3,2,0,2,0
31,Travel_Rarely,525,Sales,6,4,Medical,1,653,1,Male,66,4,2,Sales Executive,4,Divorced,6,6219,4,Y,No,22,4,4,80,2,13,4,4,7,7,5,7,0
27,Travel_Rarely,798,Other,6,4,Medical,1,655,1,Female,66,2,1,Research Scientist,3,Divorced,1,5013,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3,0
37,Travel_Rarely,558,Sales,2,3,Marketing,1,656,4,Male,75,3,2,Sales Executive,3,Married,8,3010,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0,0
20,Travel_Rarely,959,Other,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,3,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0,0
42,Travel_Rarely,622,Other,2,4,Life Sciences,1,659,3,Female,81,3,2,Healthcare Representative,4,Married,4,5718,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2,0
43,Travel_Rarely,782,Other,6,4,Other,1,661,2,Male,50,2,4,Research Director,4,Divorced,10,2671,4,Y,Yes,14,3,3,80,1,21,3,2,1,0,0,0,0
38,Travel_Rarely,362,Other,1,1,Life Sciences,1,662,3,Female,43,3,1,Research Scientist,1,Single,2,14561,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0,0
43,Travel_Frequently,1001,Other,9,5,Medical,1,663,4,Male,72,3,2,Laboratory Technician,3,Divorced,6,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7,0
48,Travel_Rarely,1236,Other,1,4,Life Sciences,1,664,4,Female,40,2,4,Manager,1,Married,10,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2,0
44,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,665,1,Female,50,2,2,Human Resources,3,Single,7,26894,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2,0
34,Travel_Rarely,204,Sales,14,3,Technical Degree,1,666,3,Female,31,3,1,Sales Representative,3,Divorced,2,2912,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6,0
27,Travel_Rarely,1420,Sales,2,1,Marketing,1,667,3,Male,85,3,1,Sales Representative,1,Divorced,3,16346,0,Y,No,11,3,2,80,1,5,3,3,4,3,0,2,1
21,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,4,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,0
44,Travel_Rarely,1315,Other,3,4,Other,1,671,4,Male,35,3,5,Manager,4,Married,10,9358,4,Y,Yes,12,3,1,80,1,26,2,4,2,2,0,1,0
22,Travel_Rarely,604,Other,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,3,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2,0
33,Travel_Rarely,1216,Sales,8,4,Marketing,1,677,3,Male,39,3,2,Sales Executive,3,Divorced,8,20431,0,Y,No,12,3,4,80,0,6,3,3,5,0,1,2,0
32,Travel_Rarely,646,Other,9,4,Life Sciences,1,679,1,Female,92,3,2,Research Scientist,4,Married,7,18089,1,Y,Yes,12,3,4,80,1,6,2,2,6,4,0,5,0
30,Travel_Frequently,160,Other,3,3,Medical,1,680,3,Female,71,3,1,Research Scientist,3,Divorced,1,22653,1,Y,No,20,4,3,80,1,1,2,3,1,0,0,0,0
53,Travel_Rarely,238,Sales,1,1,Medical,1,682,4,Female,34,3,2,Sales Executive,1,Single,8,7507,7,Y,No,20,4,4,80,0,18,2,4,14,7,8,10,0
34,Travel_Rarely,1397,Other,1,5,Life Sciences,1,683,2,Male,42,3,1,Research Scientist,4,Married,2,7660,1,Y,No,12,3,4,80,1,10,4,2,10,9,8,8,0
45,Travel_Frequently,306,Sales,26,4,Life Sciences,1,684,1,Female,100,3,2,Sales Executive,1,Married,5,5630,2,Y,No,14,3,4,80,2,5,4,3,1,1,0,0,1
26,Travel_Rarely,991,Other,6,3,Life Sciences,1,686,3,Female,71,3,1,Laboratory Technician,4,Married,2,17759,1,Y,Yes,13,3,3,80,1,3,2,3,3,2,0,2,0
37,Travel_Rarely,482,Other,3,3,Other,1,689,3,Male,36,3,3,Manufacturing Director,3,Married,8,9606,1,Y,No,15,3,3,80,1,10,2,3,10,7,7,8,0
29,Travel_Rarely,1176,Sales,3,2,Medical,1,690,2,Female,62,3,2,Sales Executive,3,Married,6,3487,1,Y,No,14,3,1,80,1,6,5,2,6,0,1,2,0
35,Travel_Rarely,1017,Other,6,4,Life Sciences,1,691,2,Male,82,1,2,Research Scientist,4,Single,7,19368,1,Y,No,13,3,2,80,0,17,3,3,17,11,11,8,0
33,Travel_Frequently,1296,Other,6,3,Life Sciences,1,692,3,Male,30,3,2,Healthcare Representative,4,Divorced,8,5335,3,Y,No,23,4,3,80,1,15,2,1,13,11,4,7,0
54,Travel_Rarely,397,Human Resources,19,4,Medical,1,698,3,Male,88,3,3,Human Resources,2,Married,9,6729,2,Y,No,15,3,3,80,1,16,1,4,9,7,7,1,0
36,Travel_Rarely,913,Other,9,2,Medical,1,699,2,Male,48,2,2,Manufacturing Director,2,Divorced,8,13934,2,Y,Yes,11,3,3,80,1,13,2,3,3,2,0,2,0
